"AUDIOFILE"                ,"FOREIGNWORD"            ,"LEVEL","NATIVEWORD"
"/st/snw/have.mp3"         ,"have"                   ,"A2"   ,""
"/st/snw/aunt.mp3"         ,"aunt"                   ,"A2"   ,"nagynéni"
"/st/snw/cousin.mp3"       ,"cousin"                 ,"A2"   ,"unokatestvér"
"/st/snw/grandchild.mp3"   ,"grandchild"             ,"A2"   ,"unoka"
"/st/snw/granddad.mp3"     ,"granddad"               ,"A2"   ,"nagypapa"
"/st/snw/granddaughter.mp3","granddaughter"          ,"A2"   ,"leányunoka"
"/st/snw/grandfather.mp3"  ,"grandfather"            ,"A2"   ,"nagyapa"
"/st/snw/grandma.mp3"      ,"grandma"                ,"A2"   ,"nagymama, nagyi"
"/st/snw/grandmother.mp3"  ,"grandmother"            ,"A2"   ,"nagymama"
"/st/snw/grandpa.mp3"      ,"grandpa"                ,"A2"   ,"nagypapa"
"/st/snw/grandparent.mp3"  ,"grandparent"            ,"A2"   ,"nagyszülő"
"/st/snw/grandson.mp3"     ,"grandson"               ,"A2"   ,"fiúunoka"
"/st/snw/granny.mp3"       ,"granny"                 ,"A2"   ,"nagyi"
"/st/snw/uncle.mp3"        ,"uncle"                  ,"A2"   ,"nagybácsi; bácsi"
"/st/snk/r1822.mp3"        ,"look after sb/sth"      ,"A2"   ,"felügyel/vigyáz /magára, gondoz , gondoskodik  vkire/vmire vkit/vmit vkiről/vmiről"
"/st/snk/r475.mp3"         ,"be born"                ,"A2"   ,"születik, megszületik"
"/st/snk/r1270.mp3"        ,"get married"            ,"A2"   ,"összeházasodik; megnősül, feleségül vesz; férjhez megy"
"/st/snk/r3073.mp3"        ,"your big brother/sister","A2"   ,"báty, nővér"
"/st/snw/ask.mp3"          ,"ask"                    ,"A2"   ,"meghív"
"/st/snw/contact.mp3"      ,"contact"                ,"A2"   ,"kapcsolatba lép vkivel"
"/st/snw/kiss.mp3"         ,"kiss"                   ,"A2"   ,"csókol, megcsókol, csókolgat; csókolódzik; puszil, megpuszil"
"/st/snw/boyfriend.mp3"    ,"boyfriend"              ,"A2"   ,"udvarló, barát"
"/st/snw/contact.mp3"      ,"contact"                ,"A2"   ,"kapcsolat"
"/st/snw/friend.mp3"       ,"friend"                 ,"A2"   ,"ismerős"
"/st/snw/girlfriend.mp3"   ,"girlfriend"             ,"A2"   ,"barátnő"
"/st/snw/guest.mp3"        ,"guest"                  ,"A2"   ,"vendég"
"/st/snw/invitation.mp3"   ,"invitation"             ,"A2"   ,"meghívás"
"/st/snw/kiss.mp3"         ,"kiss"                   ,"A2"   ,"csók; puszi"
"/st/snw/penfriend.mp3"    ,"penfriend"              ,"A2"   ,"levelezőpartner"
"/st/snw/visitor.mp3"      ,"visitor"                ,"A2"   ,"látogató"
"/st/snw/alone.mp3"        ,"alone"                  ,"A2"   ,"egyedül"
"/st/snw/close_adj.mp3"    ,"close"                  ,"A2"   ,"közeli"
"/st/snw/round.mp3"        ,"round"                  ,"A2"   ,"át"
"/st/snk/r911.mp3"         ,"come round"             ,"A2"   ,"eljön, feljön, átjön"
"/st/snk/r1318.mp3"        ,"give a party"           ,"A2"   ,"partit ad"
"/st/snk/r2029.mp3"        ,"old friend"             ,"A2"   ,"régi barát"
