"AUDIOFILE"            ,"FOREIGNWORD"                         ,"LEVEL","NATIVEWORD"
"/st/snw/begin.mp3"    ,"begin"                               ,"A2"   ,"kezd, elkezd"
"/st/snw/change.mp3"   ,"change"                              ,"A2"   ,"változik, megváltozik"
"/st/snw/complete.mp3" ,"complete"                            ,"A2"   ,"befejez; elvégez"
"/st/snw/end.mp3"      ,"end"                                 ,"A2"   ,"befejez; befejeződik, véget ér"
"/st/snw/find.mp3"     ,"find"                                ,"A2"   ,"talál, rátalál"
"/st/snw/forget.mp3"   ,"forget"                              ,"A2"   ,"elfelejt vmit magával vinni"
"/st/snw/give.mp3"     ,"give"                                ,"A2"   ,"átad, átnyújt, odaad"
"/st/snw/happen.mp3"   ,"happen"                              ,"A2"   ,"történik vmi"
"/st/snw/happen.mp3"   ,"happen"                              ,"A2"   ,"történik vkivel/vmivel vmi"
"/st/snw/keep.mp3"     ,"keep"                                ,"A2"   ,"megtart"
"/st/snw/keep.mp3"     ,"keep"                                ,"A2"   ,"marad"
"/st/snw/leave.mp3"    ,"leave"                               ,"A2"   ,"hagy vmit vhol, felejt/ottfelejt vmit vhol"
"/st/snw/leave.mp3"    ,"leave"                               ,"A2"   ,"hagy/otthagy vkinek vmit"
"/st/snw/leave.mp3"    ,"leave"                               ,"A2"   ,"hagy/meghagy vmit; marad vmiből"
"/st/snw/lend.mp3"     ,"lend"                                ,"A2"   ,"kölcsönad vkinek vmit"
"/st/snw/lose.mp3"     ,"lose"                                ,"A2"   ,"elveszt, elveszít vmit"
"/st/snw/miss.mp3"     ,"miss"                                ,"A2"   ,"kihagy, elmulaszt"
"/st/snw/receive.mp3"  ,"receive"                             ,"A2"   ,"kap vmit"
"/st/snw/return.mp3"   ,"return"                              ,"A2"   ,"visszaad/visszavisz/visszaküld; visszatesz"
"/st/snw/save.mp3"     ,"save"                                ,"A2"   ,"megtart, félretesz"
"/st/snw/share.mp3"    ,"share"                               ,"A2"   ,"megoszt vmit vkivel"
"/st/snw/share.mp3"    ,"share"                               ,"A2"   ,"feloszt, szétoszt vmit"
"/st/snw/change.mp3"   ,"change"                              ,"A2"   ,"változás"
"/st/snw/change.mp3"   ,"change"                              ,"A2"   ,"változás"
"/st/snw/thing.mp3"    ,"thing"                               ,"A2"   ,"dolog, dolgai/ügyei vkinek"
"/st/snw/thing.mp3"    ,"thing"                               ,"A2"   ,"dolog"
"/st/snw/use_noun.mp3" ,"use"                                 ,"A2"   ,"használat"
"/st/snw/available.mp3","available"                           ,"A2"   ,"kapható, hozzáférhető"
"/st/snw/missing.mp3"  ,"missing"                             ,"A2"   ,"eltűnt, elveszett"
"/st/snw/quiet.mp3"    ,"quiet"                               ,"A2"   ,"csendes, nyugodt, eseménytelen"
"/st/snw/ready.mp3"    ,"ready"                               ,"A2"   ,"kész, elkészült"
"/st/snw/here.mp3"     ,"here"                                ,"A2"   ,"itt"
"/st/snw/instead.mp3"  ,"instead"                             ,"A2"   ,"helyett"
"/st/snw/there.mp3"    ,"there"                               ,"A2"   ,"itt van, tessék"
"/st/snw/into.mp3"     ,"into"                                ,"A2"   ,"-ra, -re, -vá, -vé"
"/st/snw/without.mp3"  ,"without"                             ,"A2"   ,"vmi nélkül; anélkül hogy"
"/st/snw/ok.mp3"       ,"OK"                                  ,"A2"   ,"oké, kezdődhet, kezdhetjük"
"/st/snk/r1322.mp3"    ,"give back ↔ sth"                     ,"A2"   ,"visszaad"
"/st/snk/r684.mp3"     ,"become available/rich/a writer, etc.","A2"   ,"elérhetővé/gazdaggá/íróvá válik, lesz  vmivé     vki"
"/st/snk/r1461.mp3"    ,"here you are/here it is, etc."       ,"A2"   ,"itt van  vmivé     vki"
"/st/snk/r2810.mp3"    ,"the rest"                            ,"A2"   ,"a többi, a többiek, a maradék  vmivé     vki"
"/st/snk/r3038.mp3"    ,"without sb"                          ,"A2"   ,"nélkül  vmivé     vki"
