"AUDIOFILE"            ,"FOREIGNWORD"                ,"LEVEL","NATIVEWORD"
"/st/snw/fight.mp3"    ,"fight"                      ,"B1"   ,"verekszik"
"/st/snw/murder.mp3"   ,"murder"                     ,"B1"   ,"meggyilkol"
"/st/snw/point.mp3"    ,"point"                      ,"B1"   ,"céloz, ráirányít"
"/st/snw/rob.mp3"      ,"rob"                        ,"B1"   ,"rabol, kirabol, elrabol"
"/st/snw/shoot.mp3"    ,"shoot"                      ,"B1"   ,"lő, lelő, meglő"
"/st/snw/crime.mp3"    ,"crime"                      ,"B1"   ,"bűnözés; bűn, vétek"
"/st/snw/crime.mp3"    ,"crime"                      ,"B1"   ,"bűncselekmény"
"/st/snw/criminal.mp3" ,"criminal"                   ,"B1"   ,"bűnöző"
"/st/snw/fight.mp3"    ,"fight"                      ,"B1"   ,"verekedés"
"/st/snw/killer.mp3"   ,"killer"                     ,"B1"   ,"gyilkos"
"/st/snw/killing.mp3"  ,"killing"                    ,"B1"   ,"gyilkosság"
"/st/snw/murder.mp3"   ,"murder"                     ,"B1"   ,"gyilkosság"
"/st/snw/murderer.mp3" ,"murderer"                   ,"B1"   ,"gyilkos"
"/st/snw/pirate.mp3"   ,"pirate"                     ,"B1"   ,"kalóz"
"/st/snw/thief.mp3"    ,"thief"                      ,"B1"   ,"tolvaj"
"/st/snk/r736.mp3"     ,"break in/into sth"          ,"B1"   ,"betör  vhova"
"/st/snk/r1445.mp3"    ,"have sth stolen/taken, etc.","B1"   ,"ellopták/elvitték/stb.  vkinek vmijét"
"/st/snw/admit.mp3"    ,"admit"                      ,"B1"   ,"beismer, elismer"
"/st/snw/arrest.mp3"   ,"arrest"                     ,"B1"   ,"letartóztat"
"/st/snw/escape.mp3"   ,"escape"                     ,"B1"   ,"megszökik, kimenekül"
"/st/snw/punish.mp3"   ,"punish"                     ,"B1"   ,"büntet, megbüntet"
"/st/snw/detective.mp3","detective"                  ,"B1"   ,"detektív, nyomozó"
"/st/snw/fine.mp3"     ,"fine"                       ,"B1"   ,"bírság, pénzbírság"
"/st/snw/jail.mp3"     ,"jail"                       ,"B1"   ,"börtön"
"/st/snw/officer.mp3"  ,"officer"                    ,"B1"   ,"rendőr, rendőrtiszt"
"/st/snw/prison.mp3"   ,"prison"                     ,"B1"   ,"börtön"
"/st/snw/prisoner.mp3" ,"prisoner"                   ,"B1"   ,"rab, fogoly"
"/st/snw/reward.mp3"   ,"reward"                     ,"B1"   ,"jutalom"
"/st/snw/security.mp3" ,"security"                   ,"B1"   ,"biztonság, védelem"
