"AUDIOFILE"               ,"FOREIGNWORD"                  ,"LEVEL","NATIVEWORD"
"/st/snw/arrange.mp3"     ,"arrange"                      ,"B1"   ,"szervez, megszervez, intézkedik, elintézi hogy"
"/st/snw/attempt.mp3"     ,"attempt"                      ,"B1"   ,"megkísérel vmit"
"/st/snw/intend.mp3"      ,"intend"                       ,"B1"   ,"szándékában áll megtenni vmit; szán vmire/vkinek vmit"
"/st/snw/mean.mp3"        ,"mean"                         ,"B1"   ,"szándékozik/akar ; szán vmit vkinek/vmire"
"/st/snw/organize.mp3"    ,"organize"                     ,"B1"   ,"szervez, megszervez, rendez, megrendez vmit"
"/st/snw/plan.mp3"        ,"plan"                         ,"B1"   ,"tervez, szervez vmit"
"/st/snw/would.mp3"       ,"would"                        ,"B1"   ,""
"/st/snw/aim.mp3"         ,"aim"                          ,"B1"   ,"cél, célkitűzés"
"/st/snw/ambition.mp3"    ,"ambition"                     ,"B1"   ,"vágy, cél, ambíció"
"/st/snw/arrangement.mp3" ,"arrangement"                  ,"B1"   ,"előkészület, intézkedés, szervezés, megszervezés"
"/st/snw/effort.mp3"      ,"effort"                       ,"B1"   ,"erőfeszítés, próbálkozás"
"/st/snw/effort.mp3"      ,"effort"                       ,"B1"   ,"erőfeszítés, fáradozás"
"/st/snw/goal.mp3"        ,"goal"                         ,"B1"   ,"cél"
"/st/snw/organization.mp3","organization"                 ,"B1"   ,"szervezés, szervezőmunka"
"/st/snw/preparation.mp3" ,"preparation"                  ,"B1"   ,"felkészülés; felkészítés; előkészület"
"/st/snw/careless.mp3"    ,"careless"                     ,"B1"   ,"gondatlan, figyelmetlen"
"/st/snw/keen.mp3"        ,"keen"                         ,"B1"   ,"buzgó"
"/st/snw/prepared.mp3"    ,"prepared"                     ,"B1"   ,"felkészült vmire"
"/st/snk/r1713.mp3"       ,"keep up ↔ sth"                ,"B1"   ,"fenntart  vmit"
"/st/snk/r277.mp3"        ,"aim to do sth"                ,"B1"   ,"szándékozik, törekszik  vmire"
"/st/snk/r431.mp3"        ,"be (just) about to do sth"    ,"B1"   ,"rövidesen megtesz  vmire"
"/st/snk/r643.mp3"        ,"be up to sth"                 ,"B1"   ,"sántikál ; töri a fejét  vmire"
"/st/snk/r821.mp3"        ,"can't/couldn't help doing sth","B1"   ,"nem tudja/tudta megállni ; nem tehet  vmire"
"/st/snk/r1030.mp3"       ,"do your best"                 ,"B1"   ,"minden tőle telhetőt megtesz/megpróbál  vmire"
"/st/snk/r1428.mp3"       ,"have been meaning to do sth"  ,"B1"   ,"szándékában áll  vmire"
"/st/snk/r1481.mp3"       ,"hope to do sth"               ,"B1"   ,"remél/szándékozik  vmire"
"/st/snk/r2052.mp3"       ,"on purpose"                   ,"B1"   ,"szándékosan  vmire"
"/st/snk/r2192.mp3"       ,"prepare yourself"             ,"B1"   ,"felkészíti magát  vmire"
"/st/snk/r2938.mp3"       ,"try your best"                ,"B1"   ,"minden tőle telhetőt megpróbál  vmire"
"/st/snk/r3020.mp3"       ,"wish (that)"                  ,"B1"   ,"bár, bárcsak , azt kívánja  vmire"
