"AUDIOFILE"                           ,"FOREIGNWORD"             ,"LEVEL","NATIVEWORD"
"/st/snw/citizen.mp3"                 ,"citizen"                 ,"B2"   ,"lakos, polgár"
"/st/snw/community.mp3"               ,"community"               ,"B2"   ,"közösség"
"/st/snw/earth.mp3"                   ,"earth"                   ,"B2"   ,"föld, szárazföld, föld felszíne; talaj"
"/st/snw/ground.mp3"                  ,"ground"                  ,"B2"   ,"talaj"
"/st/snw/inhabitant.mp3"              ,"inhabitant"              ,"B2"   ,"lakó, lakos"
"/st/snw/mud.mp3"                     ,"mud"                     ,"B2"   ,"sár"
"/st/snw/setting.mp3"                 ,"setting"                 ,"B2"   ,"környezet"
"/st/snw/soil.mp3"                    ,"soil"                    ,"B2"   ,"talaj; termőtalaj, termőföld"
"/st/snw/surroundings.mp3"            ,"surroundings"            ,"B2"   ,"környezet; környék"
"/st/snw/territory.mp3"               ,"territory"               ,"B2"   ,"terület, felségterület"
"/st/snw/abandoned.mp3"               ,"abandoned"               ,"B2"   ,"elhagyott, elhagyatott"
"/st/snw/lonely.mp3"                  ,"lonely"                  ,"B2"   ,"elhagyatott, egyedülálló"
"/st/snw/muddy.mp3"                   ,"muddy"                   ,"B2"   ,"sáros"
"/st/snw/regional.mp3"                ,"regional"                ,"B2"   ,"körzeti, helyi; területi, regionális"
"/st/snw/residential.mp3"             ,"residential"             ,"B2"   ,"lakó-"
"/st/snw/wild.mp3"                    ,"wild"                    ,"B2"   ,"vad, megműveletlen"
"/st/snw/keep.mp3"                    ,"keep"                    ,"B2"   ,"tart ; tenyészt"
"/st/snw/agriculture.mp3"             ,"agriculture"             ,"B2"   ,"mezőgazdaság és állattenyésztés"
"/st/snw/estate.mp3"                  ,"estate"                  ,"B2"   ,"birtok, földbirtok"
"/st/snw/estate.mp3"                  ,"estate"                  ,"B2"   ,"telep"
"/st/snw/harvest.mp3"                 ,"harvest"                 ,"B2"   ,"aratás, szüret, betakarítás; termés"
"/st/snw/outskirts.mp3"               ,"outskirts"               ,"B2"   ,"külváros"
"/st/snw/suburb.mp3"                  ,"suburb"                  ,"B2"   ,"előváros"
"/st/snw/rural.mp3"                   ,"rural"                   ,"B2"   ,"vidéki, falusi"
"/st/snw/urban.mp3"                   ,"urban"                   ,"B2"   ,"városi"
"/st/snw/demolish.mp3"                ,"demolish"                ,"B2"   ,"lerombol"
"/st/snw/restore.mp3"                 ,"restore"                 ,"B2"   ,"restaurál, helyreállít"
"/st/snw/barrier.mp3"                 ,"barrier"                 ,"B2"   ,"korlát, sorompó"
"/st/snw/bell.mp3"                    ,"bell"                    ,"B2"   ,"harang, csengettyű"
"/st/snw/bench.mp3"                   ,"bench"                   ,"B2"   ,"pad"
"/st/snw/brick.mp3"                   ,"brick"                   ,"B2"   ,"tégla"
"/st/snw/column.mp3"                  ,"column"                  ,"B2"   ,"oszlop"
"/st/snw/construction.mp3"            ,"construction"            ,"B2"   ,"épület, építmény"
"/st/snw/escalator.mp3"               ,"escalator"               ,"B2"   ,"mozgólépcső"
"/st/snw/fire_brigade.mp3"            ,"fire brigade"            ,"B2"   ,"tűzoltóság"
"/st/snw/institution.mp3"             ,"institution"             ,"B2"   ,"intézmény, intézet"
"/st/snw/lobby.mp3"                   ,"lobby"                   ,"B2"   ,"előcsarnok, hall"
"/st/snw/monument.mp3"                ,"monument"                ,"B2"   ,"emlékmű"
"/st/snw/platform.mp3"                ,"platform"                ,"B2"   ,"pódium"
"/st/snk/r1028.mp3"                   ,"do up ↔ sth"             ,"B2"   ,"felújít, modernizál"
"/st/snk/r1735.mp3"                   ,"knock sth down"          ,"B2"   ,"lerombol, lebont"
"/st/snk/r2208.mp3"                   ,"pull down ↔ sth"         ,"B2"   ,"lebont"
"/st/snk/r2245.mp3"                   ,"put up ↔ sth"            ,"B2"   ,"épít, felépít"
"/st/snw/pollute.mp3"                 ,"pollute"                 ,"B2"   ,"szennyez"
"/st/snw/atmosphere.mp3"              ,"atmosphere"              ,"B2"   ,"légkör, levegő"
"/st/snw/carbon_footprint.mp3"        ,"carbon footprint"        ,"B2"   ,"szén-dioxid kibocsátás"
"/st/snw/cloud.mp3"                   ,"cloud"                   ,"B2"   ,"-felhő"
"/st/snw/conservation.mp3"            ,"conservation"            ,"B2"   ,"környezetvédelem, természetvédelem"
"/st/snw/disposal.mp3"                ,"disposal"                ,"B2"   ,"megszabadulás vmitől, az eltávolítása vminek"
"/st/snw/environment.mp3"             ,"environment"             ,"B2"   ,"környezet"
"/st/snw/litter.mp3"                  ,"litter"                  ,"B2"   ,"szemét, hulladék"
"/st/snw/reserve.mp3"                 ,"reserve"                 ,"B2"   ,"védett terület, rezervátum"
"/st/snw/waste.mp3"                   ,"waste"                   ,"B2"   ,"hulladék"
"/st/snw/ecological.mp3"              ,"ecological"              ,"B2"   ,"ökológiai, környezetbiológiai"
"/st/snw/environmentally_friendly.mp3","environmentally friendly","B2"   ,"környezetbarát"
"/st/snw/green.mp3"                   ,"green"                   ,"B2"   ,"zöld, környezetvédő; környezetvédelmi"
"/st/snw/toxic.mp3"                   ,"toxic"                   ,"B2"   ,"mérgező, toxikus"
"/st/snw/ecologically.mp3"            ,"ecologically"            ,"B2"   ,"ökológiailag, ökológiai szempontból, környezetbiológiailag"
"/st/snw/environmentally.mp3"         ,"environmentally"         ,"B2"   ,"környezeti szempontból"
