"AUDIOFILE"               ,"FOREIGNWORD"                          ,"LEVEL","NATIVEWORD"
"/st/snw/aid.mp3"         ,"aid"                                  ,"C1"   ,"segédlet, segédeszköz"
"/st/snw/dissertation.mp3","dissertation"                         ,"C1"   ,"disszertáció, értekezés, szakdolgozat"
"/st/snw/ecology.mp3"     ,"ecology"                              ,"C1"   ,"ökológia"
"/st/snw/equation.mp3"    ,"equation"                             ,"C1"   ,"egyenlet"
"/st/snw/formula.mp3"     ,"formula"                              ,"C1"   ,"képlet"
"/st/snw/geology.mp3"     ,"geology"                              ,"C1"   ,"geológia, földtan"
"/st/snw/scholar.mp3"     ,"scholar"                              ,"C1"   ,"tudós ; ösztöndíjas"
"/st/snw/scholarship.mp3" ,"scholarship"                          ,"C1"   ,"ösztöndíj; tudományos munka"
"/st/snw/tuition.mp3"     ,"tuition"                              ,"C1"   ,"oktatás, tanítás"
"/st/snw/formal.mp3"      ,"formal"                               ,"C1"   ,"elméleti"
"/st/snw/tertiary.mp3"    ,"tertiary"                             ,"C1"   ,"felsőfokú"
"/st/snk/r2270.mp3"       ,"read up on sth"                       ,"C1"   ,"elolvas/hozzáolvas"
"/st/snk/r331.mp3"        ,"arts"                                 ,"C1"   ,"bölcsésztudományok"
"/st/snk/r96.mp3"         ,"Master's (degree)"                    ,"C1"   ,"egyetemi diploma, magiszteri fokozat"
"/st/snk/r2687.mp3"       ,"the English/law/science, etc. faculty","C1"   ,"angol/jogi/tudományos/stb. kar/fakultás"
"/st/snk/r3026.mp3"       ,"with flying colours"                  ,"C1"   ,"kitűnő eredménnyel"
