"AUDIOFILE"                ,"FOREIGNWORD"        ,"LEVEL","NATIVEWORD"
"/st/snw/seal.mp3"         ,"seal"               ,"C2"   ,"leragaszt, lepecsétel"
"/st/snw/settle.mp3"       ,"settle"             ,"C2"   ,"rendez, kiegyenlít"
"/st/snw/value.mp3"        ,"value"              ,"C2"   ,"értékel, becsül, felbecsül vmit"
"/st/snw/concession.mp3"   ,"concession"         ,"C2"   ,"kedvezményes ár"
"/st/snw/counselling.mp3"  ,"counselling"        ,"C2"   ,"tanácsadás"
"/st/snw/counsellor.mp3"   ,"counsellor"         ,"C2"   ,"tanácsadó"
"/st/snw/cushion.mp3"      ,"cushion"            ,"C2"   ,"biztosíték, tartalék"
"/st/snw/outlet.mp3"       ,"outlet"             ,"C2"   ,"márkabolt"
"/st/snw/premium.mp3"      ,"premium"            ,"C2"   ,"biztosítási díj; felár"
"/st/snw/presentation.mp3" ,"presentation"       ,"C2"   ,"bemutatás módja, külalak"
"/st/snw/retailer.mp3"     ,"retailer"           ,"C2"   ,"kiskereskedő"
"/st/snw/second.mp3"       ,"second"             ,"C2"   ,"másodosztályú, leértékelt áru"
"/st/snw/statement.mp3"    ,"statement"          ,"C2"   ,"számlakivonat"
"/st/snw/withdrawal.mp3"   ,"withdrawal"         ,"C2"   ,"kivét, pénzfelvétel"
"/st/snw/complimentary.mp3","complimentary"      ,"C2"   ,"tisztelet-"
"/st/snw/defective.mp3"    ,"defective"          ,"C2"   ,"hibás, sérült, fogyatékos"
"/st/snw/premium.mp3"      ,"premium"            ,"C2"   ,"elsőrendű, kiváló minőségű, osztályon felüli"
"/st/snw/worthless.mp3"    ,"worthless"          ,"C2"   ,"értéktelen"
"/st/snk/r2316.mp3"        ,"rip sb off"         ,"C2"   ,"megvág  vkit"
"/st/snk/r195.mp3"         ,"a nest egg"         ,"C2"   ,"félretett/megtakarított pénz"
"/st/snk/r461.mp3"         ,"be at a premium"    ,"C2"   ,"kelendő, szűkösen rendelkezésre álló"
"/st/snk/r1618.mp3"        ,"in the red"         ,"C2"   ,"mínuszban van"
"/st/snk/r2402.mp3"        ,"sell like hot cakes","C2"   ,"veszik mint a cukrot"
